NUT,Niue Time,-11
SST,Samoa Standard Time,-11
CKT,Cook Island Time,-10
HST,Hawaii Standard Time,-10
TAHT,Tahiti Time,-10
MART,Marquesas Time,-9:30
AKST,Alaska Standard Time,-9
GAMT,Gambier Time,-9
HDT,Hawaii-Aleutian Daylight Time,-9
AKDT,Alaska Daylight Time,-8
PST,Pacific Standard Time,-8
PST,Pitcairn Standard Time,-8
MST,Mountain Standard Time,-7
PDT,Pacific Daylight Time,-7
CST,Central Standard Time,-6
EAST,Easter Island Standard Time,-6
GALT,Galapagos Time,-6
MDT,Mountain Daylight Time,-6
ACT,Acre Time,-5
CDT,Central Daylight Time,-5
CIST,Cayman Islands Standard Time,-5
COT,Colombia Time,-5
CST,Cuba Standard Time,-5
EASST,Easter Island Summer Time,-5
ECT,Ecuador Time,-5
EST,Eastern Standard Time,-5
PET,Peru Time,-5
AMT,Amazon Time,-4
AST,Atlantic Standard Time,-4
BOT,Bolivia Time,-4
CDT,Cuba Daylight Time,-4
CIDST,Cayman Islands Daylight Saving Time,-4
CLT,Chile Standard Time,-4
EDT,Eastern Daylight Time,-4
FKT,Falkland Island Time,-4
GYT,Guyana Time,-4
PYT,Paraguay Time,-4
VET,Venezuelan Standard Time,-4
NST,Newfoundland Standard Time,-3:30
ADT,Atlantic Daylight Time,-3
AMST,Amazon Summer Time,-3
ART,Argentina Time,-3
BRT,Brasília Time,-3
CLST,Chile Summer Time,-3
FKST,Falkland Islands Summer Time,-3
GFT,French Guiana Time,-3
PMST,Pierre & Miquelon Standard Time,-3
PYST,Paraguay Summer Time,-3
ROTT,Rothera Time,-3
SRT,Suriname Time,-3
UYT,Uruguay Time,-3
WARST,Western Argentine Summer Time,-3
WGT,West Greenland Time,-3
NDT,Newfoundland Daylight Time,-2:30
BRST,Brasília Summer Time,-2
FNT,Fernando de Noronha Time,-2
GST,South Georgia Time,-2
PMDT,Pierre & Miquelon Daylight Time,-2
UYST,Uruguay Summer Time,-2
WGST,Western Greenland Summer Time,-2
AZOT,Azores Time,-1
CVT,Cape Verde Time,-1
EGT,East Greenland Time,-1
UTC,Coordinated Universal Time,
AZOST,Azores Summer Time,+0
EGST,Eastern Greenland Summer Time,+0
GMT,Greenwich Mean Time,+0
WET,Western European Time,+0
WT,Western Sahara Standard Time,+0
BST,British Summer Time,+1
CET,Central European Time,+1
IST,Irish Standard Time,+1
WAT,West Africa Time,+1
WEST,Western European Summer Time,+1
WST,Western Sahara Summer Time,+1
CAT,Central Africa Time,+2
CEST,Central European Summer Time,+2
EET,Eastern European Time,+2
IST,Israel Standard Time,+2
SAST,South Africa Standard Time,+2
WAST,West Africa Summer Time,+2
AST,Arabia Standard Time,+3
EAT,Eastern Africa Time,+3
EEST,Eastern European Summer Time,+3
FET,Further-Eastern European Time,+3
IDT,Israel Daylight Time,+3
MSK,Moscow Standard Time,+3
SYOT,Syowa Time,+3
TRT,Turkey Time,+3
IRST,Iran Standard Time,+3:30
ADT,Arabia Daylight Time,+4
AMT,Armenia Time,+4
AZT,Azerbaijan Time,+4
GET,Georgia Standard Time,+4
GST,Gulf Standard Time,+4
KUYT,Kuybyshev Time,+4
MSD,Moscow Daylight Time,+4
MUT,Mauritius Time,+4
RET,Reunion Time,+4
SAMT,Samara Time,+4
SCT,Seychelles Time,+4
AFT,Afghanistan Time,+4:30
IRDT,Iran Daylight Time,+4:30
AMST,Armenia Summer Time,+5
AQTT,Aqtobe Time,+5
AZST,Azerbaijan Summer Time,+5
MAWT,Mawson Time,+5
MVT,Maldives Time,+5
ORAT,Oral Time,+5
PKT,Pakistan Standard Time,+5
TFT,French Southern and Antarctic Time,+5
TJT,Tajikistan Time,+5
TMT,Turkmenistan Time,+5
UZT,Uzbekistan Time,+5
YEKT,Yekaterinburg Time,+5
IST,India Standard Time,+5:30
NPT,Nepal Time ,+5:45
ALMT,Alma-Ata Time,+6
BST,Bangladesh Standard Time,+6
BTT,Bhutan Time,+6
IOT,Indian Chagos Time,+6
KGT,Kyrgyzstan Time,+6
NOVT,Novosibirsk Time,+6
OMST,Omsk Standard Time,+6
QYZT,Qyzylorda Time,+6
VOST,Vostok Time,+6
YEKST,Yekaterinburg Summer Time,+6
CCT,Cocos Islands Time,+6:30
MMT,Myanmar Time,+6:30
CXT,Christmas Island Time,+7
DAVT,Davis Time,+7
HOVT,Hovd Time,+7
ICT,Indochina Time,+7
KRAT,Krasnoyarsk Time,+7
NOVST,Novosibirsk Summer Time,+7
OMSST,Omsk Summer Time,+7
WIB,Western Indonesian Time,+7
AWST,Australian Western Standard Time,+8
BNT,Brunei Darussalam Time,+8
CAST,Casey Time,+8
CHOT,Choibalsan Time,+8
CST,China Standard Time,+8
HKT,Hong Kong Time,+8
HOVST,Hovd Summer Time,+8
IRKT,Irkutsk Time,+8
KRAST,Krasnoyarsk Summer Time,+8
MYT,Malaysia Time,+8
PHT,Philippine Time,+8
SGT,Singapore Time,+8
ULAT,Ulaanbaatar Time,+8
WITA,Central Indonesian Time,+8
PYT,Pyongyang Time,+8:30
ACWST,Australian Central Western Standard Time,+8:45
AWDT,Australian Western Daylight Time,+9
CHOST,Choibalsan Summer Time,+9
IRKST,Irkutsk Summer Time,+9
JST,Japan Standard Time,+9
KST,Korea Standard Time,+9
PWT,Palau Time,+9
TLT,East Timor Time,+9
ULAST,Ulaanbaatar Summer Time,+9
WIT,Eastern Indonesian Time,+9
YAKT,Yakutsk Time,+9
ACST,Australian Central Standard Time,+9:30
AEST,Australian Eastern Standard Time,+10
CHUT,Chuuk Time,+10
ChST,Chamorro Standard Time,+10
DDUT,Dumont-d'Urville Time,+10
PGT,Papua New Guinea Time,+10
VLAT,Vladivostok Time,+10
YAKST,Yakutsk Summer Time,+10
YAPT,Yap Time,+10
ACDT,Australian Central Daylight Time,+10:30
LHST,Lord Howe Standard Time,+10:30
AEDT,Australian Eastern Daylight Time,+11
BST,Bougainville Standard Time,+11
KOST,Kosrae Time,+11
LHDT,Lord Howe Daylight Time,+11
MAGT,Magadan Time,+11
NCT,New Caledonia Time,+11
NFT,Norfolk Time,+11
PONT,Pohnpei Standard Time,+11
SAKT,Sakhalin Time,+11
SBT,Solomon Islands Time,+11
SRET,Srednekolymsk Time,+11
VLAST,Vladivostok Summer Time,+11
VUT,Vanuatu Time,+11
ANAST,Anadyr Summer Time,+12
ANAT,Anadyr Time,+12
FJT,Fiji Time,+12
GILT,Gilbert Island Time,+12
MAGST,Magadan Summer Time,+12
MHT,Marshall Islands Time,+12
NRT,Nauru Time,+12
NZST,New Zealand Standard Time,+12
PETST,Kamchatka Summer Time,+12
PETT,Kamchatka Time,+12
TVT,Tuvalu Time,+12
WAKT,Wake Time,+12
WFT,Wallis and Futuna Time,+12
CHAST,Chatham Island Standard Time,+12:45
FJST,Fiji Summer Time,+13
NZDT,New Zealand Daylight Time,+13
PHOT,Phoenix Island Time,+13
TKT,Tokelau Time,+13
TOT,Tonga Time,+13
WST,West Samoa Time,+13
CHADT,Chatham Island Daylight Time,+13:45
LINT,Line Islands Time,+14
TOST,Tonga Summer Time,+14